year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos,delta.disc,wetstart,wetend,wetlength,wetrain,wetdaily,wetlambda
1931,292,"Pole-Evans, I.B.",3123,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.943,NA,-10.5,1.4,45.2,32.7,-6.9815,3.555836281,151.5,292.5,141,464.65,3.2980661040787647,13.8496951219512
1931,201,"Pole-Evans, I.B.",3120,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.594,2,-10.9,1.9,42.2,22.6,-6.9815,3.961682337,170.25,292.5,122.25,414.85,3.3888678530859524,11.380029761904778
1934,144,"Pole-Evans, I.B.",3690,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.85,4.3,-10.3,1.4,45.7,32,-6.961154178,3.373593838,123.75,243,119.25,712.2,5.9234701714316245,15.229509847696626
2005,330,"Policzer, JT",10,Poaceae,Digitaria eriantha,DE,2431DC,-24.594,31.3541,C4,1.727,NA,-13.5,0.5,40.1,78.9,-8.206351483,5.366090742,117,246,129,267.3,7.637142857142861,7.861764705882351
1984,126,"Robinson, E.R.",10,Poaceae,Hyparrhenia hirta,HH,2627BB,-26.125,27.875,C4,1.625,4,-11.4,1.4,41.5,29.8,-7.6955,3.747218288,97,229,132,551,4.551345029239765,13.4885746606335
1925,16,"Robinson, M.",15,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.787,5.5,-11.3,2.2,40,17.9,-6.968,4.381511075,125.5,308,182.5,901.65,4.913784449988125,10.403671792152725
1921,156,"Rogers, F.A.",26640,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.863,3.7,-28,0.5,40.2,74.6,-6.89513872,21.71282025,154,250,96,593.2,6.11546391752577,12.3583333333333
1945,204,"Rycroft, H.B.",1034,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.719,-2,-31.7,1.2,43.3,36.8,-7.033,25.47454301,114.5,221.5,107,716.15,6.608070054945055,13.40345911949685
1988,199,"Saayman, E.J.L.",146,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.811,-1.2,-11.8,2.6,43.9,16.8,-7.804333333,4.043378533,66,255,189,706.25,3.7171052631578902,11.775094696969715
1988,267,"Saayman, E.J.L.",90,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.806,NA,-27.9,1.2,45.4,37.1,-7.804333333,20.67242739,21,81.5,60.5,904.2,14.57846153846155,32.53733333333335
